clave_unica,merge_tag,fieldKey_completo,nombre,dataType,id
as_a_lanzar_una_promo_2_1_al_70_del_precio_tu_objetivo_es_proteger_el_margen_de_contribucion_que_condicion_debe_cumplirse_para_que_la_promo_tenga_sentido_economico,{{contact.as_a_lanzar_una_promo_2_1_al_70_del_precio_tu_objetivo_es_proteger_el_margen_de_contribucion_que_condicion_debe_cumplirse_para_que_la_promo_tenga_sentido_economico}},contact.as_a_lanzar_una_promo_2_1_al_70_del_precio_tu_objetivo_es_proteger_el_margen_de_contribucion_que_condicion_debe_cumplirse_para_que_la_promo_tenga_sentido_economico,as a lanzar una promo “2×1 al 70% del precio”. Tu objetivo es proteger el margen de contribución. ¿Qué condición debe cumplirse para que la promo tenga sentido económico?,CHECKBOX,tuDxsxBZBQ8RzXuQfrh9
bienvenida,{{contact.bienvenida}},contact.bienvenida,Bienvenida,SINGLE_OPTIONS,eT8NfgkNOThO7HE0whfD
bonus_mati,{{contact.bonus_mati}},contact.bonus_mati,Bonus Mati,SINGLE_OPTIONS,faITHYVXOLPgQWzayhIz
borrar_contacto,{{contact.borrar_contacto}},contact.borrar_contacto,Borrar Contacto,CHECKBOX,pA7lM4jiZHeIOXY0xelr
bot_ia,{{contact.bot_ia}},contact.bot_ia,Bot IA,SINGLE_OPTIONS,bkGlNcFhyqmYKu2P1AzV
botn_de_opcin_46mhy,{{contact.botn_de_opcin_46mhy}},contact.botn_de_opcin_46mhy,Botón de opción 46mhy,RADIO,x1x0i8V1XsKBmlcXBGUy
breve_descripcion_de_tu_modelo_de_negocio,{{contact.breve_descripcion_de_tu_modelo_de_negocio}},contact.breve_descripcion_de_tu_modelo_de_negocio,Breve descripción de tu modelo de negocio,LARGE_TEXT,xWmX5FKlAqcUaV55X6J0
calendario_agendado,{{contact.calendario_agendado}},contact.calendario_agendado,Calendario agendado,TEXT,0x7T07bK9hEPwQmNNwyI
calidad_del_lead,{{contact.calidad_del_lead}},contact.calidad_del_lead,Calidad del lead,SINGLE_OPTIONS,u0Yqro727TnNGQS2Cx4Z
calificacion,{{contact.calificacion}},contact.calificacion,Calificacion,SINGLE_OPTIONS,3MAmmewLyVBTaVE3jibX
call_confirmer,{{contact.call_confirmer}},contact.call_confirmer,Call Confirmer,SINGLE_OPTIONS,legCqwWCTb7nalpUKNRJ
campaign,{{contact.campaign}},contact.campaign,campaign,TEXT,rywciNKckxiB9Sz2zuHm
cantidad_de_colaboradores,{{contact.cantidad_de_colaboradores}},contact.cantidad_de_colaboradores,Cantidad de colaboradores,NUMERICAL,bsDZ2ZcTOAYtXiIpQ3Sf
cantidad_de_empleados_que_tiene_tu_empresa,{{contact.cantidad_de_empleados_que_tiene_tu_empresa}},contact.cantidad_de_empleados_que_tiene_tu_empresa,Cantidad de empleados que tiene tu empresa:,SINGLE_OPTIONS,5dqaq2V2t4TzinjggJXK
capacidad_limitada_en_horas_productivas_linea_x_tiene_mc_por_unidad_alto_pero_usa_pocas_horas_linea_y_tiene_mc_por_unidad_similar_pero_consume_el_doble_de_horas_que_conviene_priorizar_para_maximizar_el_resultado_mensual,{{contact.capacidad_limitada_en_horas_productivas_linea_x_tiene_mc_por_unidad_alto_pero_usa_pocas_horas_linea_y_tiene_mc_por_unidad_similar_pero_consume_el_doble_de_horas_que_conviene_priorizar_para_maximizar_el_resultado_mensual}},contact.capacidad_limitada_en_horas_productivas_linea_x_tiene_mc_por_unidad_alto_pero_usa_pocas_horas_linea_y_tiene_mc_por_unidad_similar_pero_consume_el_doble_de_horas_que_conviene_priorizar_para_maximizar_el_resultado_mensual,Capacidad limitada en horas-productivas. Línea X tiene MC por unidad alto pero usa pocas horas; Línea Y tiene MC por unidad similar pero consume el doble de horas. ¿Qué conviene priorizar para maximizar el resultado mensual?,CHECKBOX,RbT3lh3yjAz55P8JUbgI
cashflow,{{contact.cashflow}},contact.cashflow,Cashflow,SINGLE_OPTIONS,LbsD5wffdCgRh0dZdCAQ
casilla_de_verificacin_5q4l,{{contact.casilla_de_verificacin_5q4l}},contact.casilla_de_verificacin_5q4l,Casilla de verificación 5q4l,CHECKBOX,nc6VOI41mbKcZyULzz5X
caso_de_exito,{{contact.caso_de_exito}},contact.caso_de_exito,Caso de exito,DATE,PuoqhLUCtGhciIRArSl7
cliente,{{contact.cliente}},contact.cliente,Cliente,CHECKBOX,DGmBOrusVb4hv0raIj72
cliente_pesadilla,{{contact.cliente_pesadilla}},contact.cliente_pesadilla,Cliente pesadilla,SINGLE_OPTIONS,8ZoPS3ra7MMXYBOlxcQA
closer,{{contact.closer}},contact.closer,Closer,TEXT,hgiVBs5KbItLUZ9Sb9yE
coaching,{{contact.coaching}},contact.coaching,Coaching,SINGLE_OPTIONS,0XrY5NYYxVNGzfLM6E9P
como_agiliza_el_m_8_la_etapa_inicial_de_reclutamiento,{{contact.como_agiliza_el_m_8_la_etapa_inicial_de_reclutamiento}},contact.como_agiliza_el_m_8_la_etapa_inicial_de_reclutamiento,¿Cómo agiliza el M8 la etapa inicial de reclutamiento?,CHECKBOX,bK50ob1EuHCUQ3RqtVfP
como_calculo_el_punto_de_equilibrio_en_pesos,{{contact.como_calculo_el_punto_de_equilibrio_en_pesos}},contact.como_calculo_el_punto_de_equilibrio_en_pesos,Cómo calculo el punto de equilibrio en pesos?,CHECKBOX,tivYiiwWzFBeM3CalPr2
como_debe_ser_el_proceso_de_seleccion_propuesto,{{contact.como_debe_ser_el_proceso_de_seleccion_propuesto}},contact.como_debe_ser_el_proceso_de_seleccion_propuesto,¿Cómo debe ser el proceso de selección propuesto?,CHECKBOX,svZ76GgkVusVfAsCQ2AB
como_estabas_antes_de_ingresar_al_meg_ej_me_pasaba_que_tenia_los_numeros_desorganizados_que_vendia_y_no_veia_la_plata_etc,{{contact.como_estabas_antes_de_ingresar_al_meg_ej_me_pasaba_que_tenia_los_numeros_desorganizados_que_vendia_y_no_veia_la_plata_etc}},contact.como_estabas_antes_de_ingresar_al_meg_ej_me_pasaba_que_tenia_los_numeros_desorganizados_que_vendia_y_no_veia_la_plata_etc,"¿Cómo estabas antes de ingresar al MEG? (Ej: Me pasaba que tenía los números desorganizados, que vendía y no veía la plata, etc)",LARGE_TEXT,L7KAlAixuWuVHF6BzfTe
como_funciona_el_sistema_de_checks_y_strikes,{{contact.como_funciona_el_sistema_de_checks_y_strikes}},contact.como_funciona_el_sistema_de_checks_y_strikes,¿Cómo funciona el sistema de checks y strikes?,CHECKBOX,hdZqOPBDNO7INHXDG3tC
como_me_sumo_a_las_clases,{{contact.como_me_sumo_a_las_clases}},contact.como_me_sumo_a_las_clases,Como me sumo a las clases?,SINGLE_OPTIONS,Z7Ogprm8XJjJyufCVc7H
como_recomienda_el_m_8_armar_los_manuales_de_procedimientos,{{contact.como_recomienda_el_m_8_armar_los_manuales_de_procedimientos}},contact.como_recomienda_el_m_8_armar_los_manuales_de_procedimientos,¿Cómo recomienda el M8 armar los manuales de procedimientos?,CHECKBOX,XXwa5XMddqtMAeNhoZXi
como_recomienda_el_programa_abordar_los_niveles_del_cashflow,{{contact.como_recomienda_el_programa_abordar_los_niveles_del_cashflow}},contact.como_recomienda_el_programa_abordar_los_niveles_del_cashflow,¿Cómo recomienda el programa abordar los niveles del cashflow?,CHECKBOX,PsBxcWZrIwV6IYt1bcmE
como_se_estructura_el_cashflow_avanzado_en_el_meg,{{contact.como_se_estructura_el_cashflow_avanzado_en_el_meg}},contact.como_se_estructura_el_cashflow_avanzado_en_el_meg,¿Cómo se estructura el cashflow avanzado en el MEG?,CHECKBOX,HDF6OkRWlI6Y2XH8ubgN
como_se_si_este_desafio_me_va_a_servir,{{contact.como_se_si_este_desafio_me_va_a_servir}},contact.como_se_si_este_desafio_me_va_a_servir,Como se si este desafio me va a servir?,SINGLE_OPTIONS,HTP8KjT22VvYARjCOTot
como_se_si_ya_estoy_participando,{{contact.como_se_si_ya_estoy_participando}},contact.como_se_si_ya_estoy_participando,Como se si ya estoy participando?,SINGLE_OPTIONS,tZWaHYEgagAFGajJtStK
como_te_ves_en_relacion_a_tu_gestion_y_organizacion_de_tu_tiempo_siendo_1_el_dia_me_lleva_por_delante_y_no_llego_con_las_tareas_y_5_cumplo_con_todo_en_tiempo_y_forma_ademas_llego_tranquilo_al_final_del_dia,{{contact.como_te_ves_en_relacion_a_tu_gestion_y_organizacion_de_tu_tiempo_siendo_1_el_dia_me_lleva_por_delante_y_no_llego_con_las_tareas_y_5_cumplo_con_todo_en_tiempo_y_forma_ademas_llego_tranquilo_al_final_del_dia}},contact.como_te_ves_en_relacion_a_tu_gestion_y_organizacion_de_tu_tiempo_siendo_1_el_dia_me_lleva_por_delante_y_no_llego_con_las_tareas_y_5_cumplo_con_todo_en_tiempo_y_forma_ademas_llego_tranquilo_al_final_del_dia,"FV - ¿Cómo te ves en relación a tu gestión y organización de tu tiempo? (Siendo 1 el día me lleva por delante y no llego con las tareas y 5 cumplo con todo en tiempo y forma, además llego tranquilo al final del día.",SINGLE_OPTIONS,IuPaqt8IxQzjXGpYDlpE
como_tratamos_el_iva_en_el_estado_de_resultados_economico,{{contact.como_tratamos_el_iva_en_el_estado_de_resultados_economico}},contact.como_tratamos_el_iva_en_el_estado_de_resultados_economico,Como tratamos el IVA en el estado de resultados económico.,CHECKBOX,EJytbcFiPJA5S1D9Arui
